Hafta,enflasyon
2018-01-07,7
2018-01-14,5
2018-01-21,3
2018-01-28,10
2018-02-04,8
2018-02-11,5
2018-02-18,4
2018-02-25,7
2018-03-04,12
2018-03-11,4
2018-03-18,5
2018-03-25,6
2018-04-01,12
2018-04-08,6
2018-04-15,6
2018-04-22,5
2018-04-29,20
2018-05-06,8
2018-05-13,8
2018-05-20,13
2018-05-27,14
2018-06-03,33
2018-06-10,9
2018-06-17,9
2018-06-24,14
2018-07-01,57
2018-07-08,10
2018-07-15,8
2018-07-22,9
2018-07-29,25
2018-08-05,15
2018-08-12,8
2018-08-19,6
2018-08-26,16
2018-09-02,39
2018-09-09,14
2018-09-16,17
2018-09-23,15
2018-09-30,67
2018-10-07,25
2018-10-14,23
2018-10-21,21
2018-10-28,44
2018-11-04,61
2018-11-11,15
2018-11-18,16
2018-11-25,24
2018-12-02,61
2018-12-09,20
2018-12-16,24
2018-12-23,30
2018-12-30,100
2019-01-06,14
2019-01-13,14
2019-01-20,13
2019-01-27,17
2019-02-03,26
2019-02-10,9
2019-02-17,6
2019-02-24,13
2019-03-03,23
2019-03-10,8
2019-03-17,7
2019-03-24,9
2019-03-31,20
2019-04-07,9
2019-04-14,8
2019-04-21,9
2019-04-28,33
2019-05-05,10
2019-05-12,9
2019-05-19,9
2019-05-26,10
2019-06-02,24
2019-06-09,12
2019-06-16,14
2019-06-23,11
2019-06-30,50
2019-07-07,6
2019-07-14,6
2019-07-21,9
2019-07-28,9
2019-08-04,17
2019-08-11,7
2019-08-18,5
2019-08-25,11
2019-09-01,23
2019-09-08,6
2019-09-15,6
2019-09-22,6
2019-09-29,35
2019-10-06,8
2019-10-13,7
2019-10-20,6
2019-10-27,10
2019-11-03,31
2019-11-10,10
2019-11-17,7
2019-11-24,9
2019-12-01,35
2019-12-08,10
2019-12-15,11
2019-12-22,17
2019-12-29,50
2020-01-05,11
2020-01-12,10
2020-01-19,10
2020-01-26,11
2020-02-02,16
2020-02-09,7
2020-02-16,5
2020-02-23,5
2020-03-01,18
2020-03-08,5
2020-03-15,3
2020-03-22,3
2020-03-29,13
2020-04-05,4
2020-04-12,4
2020-04-19,5
2020-04-26,8
2020-05-03,19
2020-05-10,6
2020-05-17,6
2020-05-24,8
2020-05-31,30
2020-06-07,9
2020-06-14,10
2020-06-21,11
2020-06-28,44
2020-07-05,10
2020-07-12,6
2020-07-19,4
2020-07-26,6
2020-08-02,16
2020-08-09,6
2020-08-16,5
2020-08-23,6
2020-08-30,18
2020-09-06,7
2020-09-13,4
2020-09-20,6
2020-09-27,10
2020-10-04,19
2020-10-11,6
2020-10-18,7
2020-10-25,10
2020-11-01,33
2020-11-08,10
2020-11-15,13
2020-11-22,10
2020-11-29,45
2020-12-06,15
2020-12-13,20
2020-12-20,20
2020-12-27,35
