Date;HousingUP
2018-01;2614.50
2018-02;2642.60
2018-03;2645.80
2018-04;2684.60
2018-05;2718.50
2018-06;2735.30
2018-07;2747.70
2018-08;2765.80
2018-09;2803.60
2018-10;2861.60
2018-11;2852.80
2018-12;2848.30
2019-01;2756.40
2019-02;2705.10
2019-03;2697.90
2019-04;2706.00
2019-05;2723.80
2019-06;2752.00
2019-07;2789.60
2019-08;2803.30
2019-09;2824.80
2019-10;2848.40
2019-11;2885.70
2019-12;2930.50
2020-01;2999.60
2020-02;3061.10
2020-03;3104.90
2020-04;3143.60
2020-05;3326.00
2020-06;3403.90
2020-07;3452.70
2020-08;3528.50
2020-09;3619.70
2020-10;3713.60
2020-11;3810.10
2020-12;3886.30
2021-01;3996.30
