Hafta,konutkredisi
2018-01-07,7
2018-01-14,7
2018-01-21,6
2018-01-28,7
2018-02-04,7
2018-02-11,7
2018-02-18,6
2018-02-25,7
2018-03-04,7
2018-03-11,7
2018-03-18,6
2018-03-25,7
2018-04-01,6
2018-04-08,6
2018-04-15,6
2018-04-22,6
2018-04-29,6
2018-05-06,35
2018-05-13,20
2018-05-20,14
2018-05-27,10
2018-06-03,9
2018-06-10,6
2018-06-17,8
2018-06-24,11
2018-07-01,14
2018-07-08,11
2018-07-15,12
2018-07-22,11
2018-07-29,10
2018-08-05,10
2018-08-12,12
2018-08-19,8
2018-08-26,24
2018-09-02,16
2018-09-09,15
2018-09-16,14
2018-09-23,10
2018-09-30,9
2018-10-07,8
2018-10-14,8
2018-10-21,7
2018-10-28,7
2018-11-04,8
2018-11-11,7
2018-11-18,10
2018-11-25,8
2018-12-02,7
2018-12-09,18
2018-12-16,25
2018-12-23,9
2018-12-30,8
2019-01-06,10
2019-01-13,10
2019-01-20,9
2019-01-27,10
2019-02-03,13
2019-02-10,13
2019-02-17,19
2019-02-24,24
2019-03-03,23
2019-03-10,17
2019-03-17,13
2019-03-24,10
2019-03-31,7
2019-04-07,9
2019-04-14,9
2019-04-21,8
2019-04-28,8
2019-05-05,6
2019-05-12,8
2019-05-19,7
2019-05-26,6
2019-06-02,6
2019-06-09,7
2019-06-16,13
2019-06-23,8
2019-06-30,12
2019-07-07,11
2019-07-14,11
2019-07-21,21
2019-07-28,61
2019-08-04,34
2019-08-11,21
2019-08-18,20
2019-08-25,17
2019-09-01,20
2019-09-08,28
2019-09-15,26
2019-09-22,21
2019-09-29,24
2019-10-06,14
2019-10-13,13
2019-10-20,14
2019-10-27,14
2019-11-03,16
2019-11-10,16
2019-11-17,16
2019-11-24,13
2019-12-01,13
2019-12-08,14
2019-12-15,15
2019-12-22,20
2019-12-29,29
2020-01-05,23
2020-01-12,20
2020-01-19,14
2020-01-26,14
2020-02-02,15
2020-02-09,14
2020-02-16,17
2020-02-23,13
2020-03-01,13
2020-03-08,11
2020-03-15,12
2020-03-22,11
2020-03-29,7
2020-04-05,7
2020-04-12,7
2020-04-19,9
2020-04-26,10
2020-05-03,11
2020-05-10,13
2020-05-17,14
2020-05-24,21
2020-05-31,100
2020-06-07,57
2020-06-14,35
2020-06-21,28
2020-06-28,25
2020-07-05,20
2020-07-12,18
2020-07-19,21
2020-07-26,15
2020-08-02,24
2020-08-09,20
2020-08-16,17
2020-08-23,13
2020-08-30,12
2020-09-06,11
2020-09-13,12
2020-09-20,12
2020-09-27,10
2020-10-04,11
2020-10-11,10
2020-10-18,9
2020-10-25,9
2020-11-01,9
2020-11-08,8
2020-11-15,9
2020-11-22,8
2020-11-29,9
2020-12-06,7
2020-12-13,7
2020-12-20,7
2020-12-27,6
